    1/tcp     tcpmux              TCP Port Service Multiplexer 
 3395/tcp     dyna-lm             Dyna License Manager (Elam) 
 3421/tcp     bmap                Bull Apprise portmapper 
 3455/tcp     prsvp               RSVP Port 
 3456/tcp     vat                 VAT default data 
 3457/tcp     vat-control         VAT default control 
 3900/tcp     udt_os              Unidata UDT OS 
 3984/tcp     mapper-nodemgr      MAPPER network node manager 
 3985/tcp     mapper-mapethd      MAPPER TCP/IP server 
 3986/tcp     mapper-ws_ethd      MAPPER workstation server 
 4001/tcp     newoak              NewOak 
 4008/tcp     netcheque           NetCheque accounting 
 4096/tcp     bre                 BRE (Bridge Relay Element) 
 4132/tcp     nuts_dem            NUTS Daemon 
 4133/tcp     nuts_bootp          NUTS Bootp Server 
 4143/tcp     oidsr               Document Replication 
 4321/tcp     rwhois              Remote Who Is 
 4343/tcp     unicall             UNICALL 
 4346/tcp     elanlm              ELAN LM 
 4348/tcp     itose               ITOSE 
 4444/tcp     krb524              KRB524 
 4444/tcp     nv-video            NV Video default 
 4446/tcp     n1-fwp              N1-FWP 
 4449/tcp     privatewire         PrivateWire 
 4450/tcp     camp                Camp 
 4451/tcp     ctisystemmsg        CTI System Msg 
 4452/tcp     ctiprogramload      CTI Program Load 
 4500/tcp     sae-urn             sae-urn 
 4501/tcp     urn-x-cdchoice      urn-x-cdchoice 
 4546/tcp     sf-lm               SF License Manager (Sentinel) 
 4672/tcp     rfa                 remote file access server 
 4800/tcp     iims                Icona Instant Messenging System 
 4801/tcp     iwec                Icona Web Embedded Chat 
 4802/tcp     ilss                Icona License System Server 
 4827/tcp     htcp                HTCP 
 4868/tcp     phrelay             Photon Relay 
 4885/tcp     abbs                ABBS 
 5002/tcp     rfe                 radio free ethernet 
 5003/tcp     fmpro-internal      FileMaker, Inc. - Proprietary transport 
 5004/tcp     avt-profile-1       avt-profile-1 
 5005/tcp     avt-profile-2       avt-profile-2 
 5010/tcp     telelpathstart      TelepathStart 
 5020/tcp     zenginkyo-1         zenginkyo-1 
 5021/tcp     zenginkyo-2         zenginkyo-2 
 5050/tcp     mmcc                multimedia conference control tool 
 5060/tcp     sip                 SIP 
 5150/tcp     atmp                Ascend Tunnel Management Protocol 
 5190/tcp     aol                 America-Online 
 5191/tcp     aol-1               AmericaOnline1 
 5192/tcp     aol-2               AmericaOnline2 
 5193/tcp     aol-3               AmericaOnline3 
 5272/tcp     pk                  PK 
 5300/tcp     hacl-hb             # HA cluster heartbeat 
 5301/tcp     hacl-gs             # HA cluster general services 
 5304/tcp     hacl-local          # HA Cluster Commands 
 5305/tcp     hacl-test           # HA Cluster Test 
 5307/tcp     sco-aip             SCO AIP 
 5310/tcp     outlaws             Outlaws 
 5311/tcp     tmlogin             TM Login 
 5400/tcp     excerpt             Excerpt Search 
 5402/tcp     mftp                MFTP 
 5404/tcp     hpoms-dps-lstn      HPOMS-DPS-LSTN 
 5407/tcp     foresyte-clear      Foresyte-Clear 
 5409/tcp     salient-dtasrv      Salient Data Server 
 5410/tcp     salient-usrmgr      Salient User Manager 
 5411/tcp     actnet              ActNet 
 5414/tcp     statusd             StatusD 
 5418/tcp     mcntp               MCNTP 
 5419/tcp     dj-ice              DJ-ICE 
 5500/tcp     fcp-addr-srvr1      fcp-addr-srvr1 
 5501/tcp     fcp-addr-srvr2      fcp-addr-srvr2 
 5502/tcp     fcp-srvr-inst1      fcp-srvr-inst1 
 5503/tcp     fcp-srvr-inst2      fcp-srvr-inst2 
 5504/tcp     fcp-cics-gw1        fcp-cics-gw1 
 5555/tcp     personal-agent      Personal Agent 
 5602/tcp     a1-msc              A1-MSC 
 5603/tcp     a1-bs               A1-BS 
 5631/tcp     pcanywheredata      pcANYWHEREdata 
 5632/tcp     pcanywherestat      pcANYWHEREstat 
 5678/tcp     rrac                Remote Replication Agent Connection 
 5679/tcp     dccm                Direct Cable Connect Manager 
 5713/tcp     proshareaudio       proshare conf audio 
 5714/tcp     prosharevideo       proshare conf video 
 5715/tcp     prosharedata        proshare conf data 
 5717/tcp     prosharenotify      proshare conf notify 
 5729/tcp     openmail            Openmail User Agent Layer 
 5741/tcp     ida-discover1       IDA Discover Port 1 
 5742/tcp     ida-discover2       IDA Discover Port 2 
 5745/tcp     fcopy-server        fcopy-server 
 5746/tcp     fcopys-server       fcopys-server 
 5755/tcp     openmailg           OpenMail Desk Gateway server 
 5757/tcp     x500ms              OpenMail X.500 Directory Server 
 5766/tcp     openmailns          OpenMail NewMail Server 
 5767/tcp     s-openmail          OpenMail Suer Agent Layer (Secure) 
 6000/tcp     x11                 X Window System 
 6110/tcp     softcm              HP SoftBench CM 
 6111/tcp     spc                 HP SoftBench Sub-Process Control 
 6112/tcp     dtspcd              dtspcd 
 6123/tcp     backup-express      Backup Express 
 6141/tcp     meta-corp           Meta Corporation License Manager 
 6142/tcp     aspentec-lm         Aspen Technology License Manager 
 6143/tcp     watershed-lm        Watershed License Manager 
 6144/tcp     statsci1-lm         StatSci License Manager - 1 
 6145/tcp     statsci2-lm         StatSci License Manager - 2 
 6146/tcp     lonewolf-lm         Lone Wolf Systems License Manager 
 6147/tcp     montage-lm          Montage License Manager 
 6148/tcp     ricardo-lm          Ricardo North America License Manager 
 6149/tcp     tal-pod             tal-pod 
 6253/tcp     crip                CRIP 
 6389/tcp     clariion-evr01      clariion-evr01 
 6500/tcp     boks                BoKS Master 
 6558/tcp     xdsxdm              
 6665/tcp     ircu                IRCU 
 6670/tcp     vocaltec-gold       Vocaltec Global Online Directory 
 6672/tcp     vision_server       vision_server 
 6673/tcp     vision_elmd         vision_elmd 
 6790/tcp     hnmp                HNMP 
 6831/tcp     ambit-lm            ambit-lm 
 6969/tcp     acmsoda             acmsoda 
 7010/tcp     ups-onlinet         onlinet uninterruptable power supplies 
 7020/tcp     dpserve             DP Serve 
 7070/tcp     arcp                ARCP 
 7099/tcp     lazy-ptop           lazy-ptop 
 7100/tcp     font-service        X Font Service 
 7121/tcp     virprot-lm          Virtual Prototypes License Manager 
 7174/tcp     clutild             Clutild 
 7200/tcp     fodms               FODMS FLIP 
 7201/tcp     dlip                DLIP 
 7395/tcp     winqedit            winqedit 
 7426/tcp     pmdmgr              OpenView DM Postmaster Manager 
 7430/tcp     xmpv7               OpenView DM xmpv7 api pipe 
 7431/tcp     pmd                 OpenView DM ovc/xmpv3 api pipe 
 7491/tcp     telops-lmd          telops-lmd 
 7511/tcp     pafec-lm            pafec-lm 
 7544/tcp     nta-ds              FlowAnalyzer DisplayServer 
 7545/tcp     nta-us              FlowAnalyzer UtilityServer 
 7588/tcp     sun-lm              Sun License Manager 
 7777/tcp     cbt                 cbt 
 7781/tcp     accu-lmgr           accu-lmgr 
 7932/tcp     t2-drm              Tier 2 Data Resource Manager 
 7933/tcp     t2-brm              Tier 2 Business Rules Manager 
 7999/tcp     irdmi2              iRDMI2 
 8000/tcp     irdmi               iRDMI 
 8032/tcp     pro-ed              ProEd 
 8400/tcp     cvd                 cvd 
 8401/tcp     sabarsd             sabarsd 
 8402/tcp     abarsd              abarsd 
 8403/tcp     admind              admind 
 8450/tcp     npmp                npmp 
 8473/tcp     vp2p                Vitual Point to Point 
 8888/tcp     ddi-tcp-1           NewsEDGE server TCP (TCP 1) 
 8889/tcp     ddi-tcp-2           Desktop Data TCP 1 
 8890/tcp     ddi-tcp-3           Desktop Data TCP 2 
 8891/tcp     ddi-tcp-4           Desktop Data TCP 3: NESS application 
 8892/tcp     ddi-tcp-5           Desktop Data TCP 4: FARM product 
 8893/tcp     ddi-tcp-6           Desktop Data TCP 5: NewsEDGE/Web application 
 8894/tcp     ddi-tcp-7           Desktop Data TCP 6: COAL application 
 9000/tcp     cslistener          CSlistener 
 9006/tcp     sctp                SCTP 
 9090/tcp     websm               WebSM 
 9535/tcp     man                 
 9594/tcp     msgsys              Message System 
 9595/tcp     pds                 Ping Discovery Service 
 9876/tcp     sd                  Session Director 
 9992/tcp     palace              Palace 
 9993/tcp     palace              Palace 
 9994/tcp     palace              Palace 
 9995/tcp     palace              Palace 
 9996/tcp     palace              Palace 
 9997/tcp     palace              Palace 
 9998/tcp     distinct32          Distinct32 
 9999/tcp     distinct            distinct 
10000/tcp     ndmp                Network Data Management Protocol 
11000/tcp     irisa               IRISA 
11001/tcp     metasys             Metasys 
12753/tcp     tsaf                tsaf port 
13160/tcp     i-zipqd             I-ZIPQD 
13720/tcp     bprd                BPRD Protocol (VERITAS NetBackup) 
13721/tcp     bpbrm               BPBRM Protocol (VERITAS NetBackup) 
13782/tcp     bpcd                VERITAS NetBackup 
17219/tcp     chipper             Chipper 
18000/tcp     biimenu             Beckman Instruments, Inc. 
19410/tcp     hp-sco              hp-sco 
19411/tcp     hp-sca              hp-sca 
19541/tcp     jcp                 JCP Client 
21845/tcp     webphone            webphone 
21846/tcp     netspeak-is         NetSpeak Corp. Directory Services 
21847/tcp     netspeak-cs         NetSpeak Corp. Connection Services 
21848/tcp     netspeak-acd        NetSpeak Corp. Automatic Call Distribution 
21849/tcp     netspeak-cps        NetSpeak Corp. Credit Processing System 
22273/tcp     wnn6                wnn6 
22555/tcp     vocaltec-wconf      Vocaltec Web Conference 
22800/tcp     aws-brf             Telerate Information Platform LAN 
22951/tcp     brf-gw              Telerate Information Platform WAN 
24000/tcp     med-ltp             med-ltp 
24004/tcp     med-ovw             med-ovw 
24005/tcp     med-ci              med-ci 
25000/tcp     icl-twobase1        icl-twobase1 
25001/tcp     icl-twobase2        icl-twobase2 
25002/tcp     icl-twobase3        icl-twobase3 
25003/tcp     icl-twobase4        icl-twobase4 
25004/tcp     icl-twobase5        icl-twobase5 
25005/tcp     icl-twobase6        icl-twobase6 
25006/tcp     icl-twobase7        icl-twobase7 
25007/tcp     icl-twobase8        icl-twobase8 
25008/tcp     icl-twobase9        icl-twobase9 
25009/tcp     icl-twobase10       icl-twobase10 
25793/tcp     vocaltec-hos        Vocaltec Address Server 
26000/tcp     quake               quake 
26208/tcp     wnn6-ds             wnn6-ds 
45678/tcp     eba                 EBA PRISE 
47557/tcp     dbbrowse            Databeam Corporation 
47806/tcp     ap                  ALC Protocol 
47808/tcp     bacnet              Building Automation and Control Networks 
    0/tcp     -- Trojans --
31337/tcp     BackOrifice
 1999/tcp     BackDoor
 2140/tcp     DeepThroat
 3150/tcp     DeepThroat
23456/tcp     EvilFTP
 1492/tcp     FTP99cmp
 6969/tcp     GateCrasher
 6970/tcp     GateCrasher
21544/tcp     GirlFriend
  456/tcp     Hacker's Paradise
 7789/tcp     ICKiller
 4950/tcp     ICQ Trogen
40421/tcp     Paradise
40422/tcp     Paradise
40423/tcp     Paradise
20001/tcp     Millenium
 7300/tcp     NetMonitor
 7301/tcp     NetMonitor
 7306/tcp     NetMonitor
 7307/tcp     NetMonitor
 7308/tcp     NetMonitor
  555/tcp     phAce, Stealth Spy
 2801/tcp     Phineas Phucker
 7000/tcp     Remote Grab
53001/tcp     RemoteShutdown      Remote Windows Shutdown
 1600/tcp     Sivka-Burka
61466/tcp     TeLeCoMMaNDo
 5714/tcp     WinCrash
 5741/tcp     WinCrash
