    1/tcp     tcpmux              TCP Port Service Multiplexer 
  154/tcp     netsc-prod          NETSC 
  155/tcp     netsc-dev           NETSC 
  156/tcp     sqlsrv              SQL Service 
  157/tcp     knet-cmp            KNET/VM Command/Message Protocol 
  158/tcp     pcmail-srv          PCMail Server 
  159/tcp     nss-routing         NSS-Routing 
  160/tcp     sgmp-traps          SGMP-TRAPS 
  161/tcp     snmp                SNMP 
  162/tcp     snmptrap            SNMPTRAP 
  163/tcp     cmip-man            CMIP/TCP Manager 
  164/tcp     cmip-agent          CMIP/TCP Agent 
  165/tcp     xns-courier         Xerox 
  166/tcp     s-net               Sirius Systems 
  167/tcp     namp                NAMP 
  168/tcp     rsvd                RSVD 
  169/tcp     send                SEND 
  170/tcp     print-srv           Network PostScript 
  171/tcp     multiplex           Network Innovations Multiplex 
  172/tcp     cl/1                Network Innovations CL/1 
  173/tcp     xyplex-mux          Xyplex 
  174/tcp     mailq               MAILQ 
  175/tcp     vmnet               VMNET 
  176/tcp     genrad-mux          GENRAD-MUX 
  177/tcp     xdmcp               X Display Manager Control Protocol 
  178/tcp     nextstep            NextStep Window Server 
  179/tcp     bgp                 Border Gateway Protocol 
  180/tcp     ris                 Intergraph 
  181/tcp     unify               Unify 
  182/tcp     audit               Unisys Audit SITP 
  183/tcp     ocbinder            OCBinder 
  184/tcp     ocserver            OCServer 
  185/tcp     remote-kis          Remote-KIS 
  186/tcp     kis                 KIS Protocol 
  187/tcp     aci                 Application Communication Interface 
  188/tcp     mumps               Plus Five's MUMPS 
  189/tcp     qft                 Queued File Transport 
  190/tcp     gacp                Gateway Access Control Protocol 
  191/tcp     prospero            Prospero Directory Service 
  192/tcp     osu-nms             OSU Network Monitoring System 
  193/tcp     srmp                Spider Remote Monitoring Protocol 
  194/tcp     irc                 Internet Relay Chat Protocol 
  195/tcp     dn6-nlm-aud         DNSIX Network Level Module Audit 
  196/tcp     dn6-smm-red         DNSIX Session Mgt Module Audit Redir 
  197/tcp     dls                 Directory Location Service 
  198/tcp     dls-mon             Directory Location Service Monitor 
  199/tcp     smux                SMUX 
  200/tcp     src                 IBM System Resource Controller 
  201/tcp     at-rtmp             AppleTalk Routing Maintenance 
  202/tcp     at-nbp              AppleTalk Name Binding 
  203/tcp     at-3                AppleTalk Unused 
  204/tcp     at-echo             AppleTalk Echo 
  205/tcp     at-5                AppleTalk Unused 
  206/tcp     at-zis              AppleTalk Zone Information 
  207/tcp     at-7                AppleTalk Unused 
  208/tcp     at-8                AppleTalk Unused 
  209/tcp     qmtp                The Quick Mail Transfer Protocol 
  210/tcp     z39.50              ANSI Z39.50 
  211/tcp     914c/g              Texas Instruments 914C/G Terminal 
  212/tcp     anet                ATEXSSTR 
  214/tcp     vmpwscs             VM PWSCS 
  215/tcp     softpc              Insignia Solutions 
  216/tcp     CAIlic              Computer Associates Int'l License Server 
  217/tcp     dbase               dBASE Unix 
  218/tcp     mpp                 Netix Message Posting Protocol 
  219/tcp     uarps               Unisys ARPs 
  220/tcp     imap3               Interactive Mail Access Protocol v3 
  221/tcp     fln-spx             Berkeley rlogind with SPX auth 
  222/tcp     rsh-spx             Berkeley rshd with SPX auth 
  223/tcp     cdc                 Certificate Distribution Center 
  242/tcp     direct              Direct 
  243/tcp     sur-meas            Survey Measurement 
  244/tcp     dayna               Dayna 
  245/tcp     link                LINK 
  246/tcp     dsp3270             Display Systems Protocol 
  247/tcp     subntbcst_tftp      SUBNTBCST_TFTP 
  248/tcp     bhfhs               bhfhs 
  256/tcp     rap                 RAP 
  257/tcp     set                 Secure Electronic Transaction 
  258/tcp     yak-chat            Yak Winsock Personal Chat 
  259/tcp     esro-gen            Efficient Short Remote Operations 
  260/tcp     openport            Openport 
  263/tcp     hdap                HDAP 
  264/tcp     bgmp                BGMP 
  280/tcp     http-mgmt           http-mgmt 
  309/tcp     entrusttime         EntrustTime 
  310/tcp     bhmds               bhmds 
  312/tcp     vslmp               VSLMP 
  315/tcp     dpsi                DPSI 
  316/tcp     decauth             decAuth 
  317/tcp     zannet              Zannet 
  321/tcp     pip                 PIP 
  344/tcp     pdap                Prospero Data Access Protocol 
  345/tcp     pawserv             Perf Analysis Workbench 
  346/tcp     zserv               Zebra server 
  347/tcp     fatserv             Fatmen Server 
  348/tcp     csi-sgwp            Cabletron Management Protocol 
  349/tcp     mftp                mftp 
  351/tcp     matip-type-b        MATIP Type B 
  351/tcp     bhoetty             bhoetty (added 5/21/97) 
  353/tcp     ndsauth             NDSAUTH 
  354/tcp     bh611               bh611 
  357/tcp     bhevent             bhevent 
  362/tcp     srssend             SRS Send 
  365/tcp     dtk                 DTK 
  366/tcp     odmr                ODMR 
  368/tcp     qbikgdp             QbikGDP 
  371/tcp     clearcase           Clearcase 
  372/tcp     ulistproc           ListProcessor 
  373/tcp     legent-1            Legent Corporation 
  374/tcp     legent-2            Legent Corporation 
  375/tcp     hassle              Hassle 
  376/tcp     nip                 Amiga Envoy Network Inquiry Proto 
  377/tcp     tnETOS              NEC Corporation 
  378/tcp     dsETOS              NEC Corporation 
  379/tcp     is99c               TIA/EIA/IS-99 modem client 
  380/tcp     is99s               TIA/EIA/IS-99 modem server 
  381/tcp     hp-collector        hp performance data collector 
  383/tcp     hp-alarm-mgr        hp performance data alarm manager 
  384/tcp     arns                A Remote Network Server System 
  385/tcp     ibm-app             IBM Application 
  386/tcp     asa                 ASA Message Router Object Def. 
  387/tcp     aurp                Appletalk Update-Based Routing Pro. 
  388/tcp     unidata-ldm         Unidata LDM Version 4 
  389/tcp     ldap                Lightweight Directory Access Protocol 
  390/tcp     uis                 UIS 
  391/tcp     synotics-relay      SynOptics SNMP Relay Port 
  393/tcp     dis                 Data Interpretation System 
  394/tcp     embl-ndt            EMBL Nucleic Data Transfer 
  395/tcp     netcp               NETscout Control Protocol 
  396/tcp     netware-ip          Novell Netware over IP 
  397/tcp     mptn                Multi Protocol Trans. Net. 
  398/tcp     kryptolan           Kryptolan 
  399/tcp     iso-tsap-c2         ISO Transport Class 2 Non-Control over TCP 
  400/tcp     work-sol            Workstation Solutions 
  401/tcp     ups                 Uninterruptible Power Supply 
  402/tcp     genie               Genie Protocol 
  403/tcp     decap               decap 
  404/tcp     nced                nced 
  405/tcp     ncld                ncld 
  406/tcp     imsp                Interactive Mail Support Protocol 
  407/tcp     timbuktu            Timbuktu 
  408/tcp     prm-sm              Prospero Resource Manager Sys. Man. 
  409/tcp     prm-nm              Prospero Resource Manager Node Man. 
  410/tcp     decladebug          DECLadebug Remote Debug Protocol 
  411/tcp     rmt                 Remote MT Protocol 
  412/tcp     synoptics-trap      Trap Convention Port 
  413/tcp     smsp                SMSP 
  414/tcp     infoseek            InfoSeek 
  415/tcp     bnet                BNet 
  416/tcp     silverplatter       Silverplatter 
  417/tcp     onmux               Onmux 
  418/tcp     hyper-g             Hyper-G 
  419/tcp     ariel1              Ariel 
  420/tcp     smpte               SMPTE 
  421/tcp     ariel2              Ariel 
  422/tcp     ariel3              Ariel 
  423/tcp     opc-job-start       IBM Operations Planning and Control Start 
  424/tcp     opc-job-track       IBM Operations Planning and Control Track 
  425/tcp     icad-el             ICAD 
  426/tcp     smartsdp            smartsdp 
  427/tcp     svrloc              Server Location 
  428/tcp     ocs_cmu             OCS_CMU 
  429/tcp     ocs_amu             OCS_AMU 
  430/tcp     utmpsd              UTMPSD 
  431/tcp     utmpcd              UTMPCD 
  432/tcp     iasd                IASD 
  433/tcp     nnsp                NNSP 
  434/tcp     mobileip-agent      MobileIP-Agent 
  435/tcp     mobilip-mn          MobilIP-MN 
  436/tcp     dna-cml             DNA-CML 
  437/tcp     comscm              comscm 
  438/tcp     dsfgw               dsfgw 
  439/tcp     dasp                dasp Thomas Obermair 
  440/tcp     sgcp                sgcp 
  441/tcp     decvms-sysmgt       decvms-sysmgt 
  442/tcp     cvc_hostd           cvc_hostd 
  443/tcp     https               http protocol over TLS/SSL 
  444/tcp     snpp                Simple Network Paging Protocol 
  445/tcp     microsoft-ds        Microsoft-DS 
  446/tcp     ddm-rdb             DDM-RDB 
  447/tcp     ddm-dfm             DDM-RFM 
  448/tcp     ddm-ssl             DDM-SSL 
  449/tcp     as-servermap        AS Server Mapper 
  450/tcp     tserver             TServer 
  451/tcp     sfs-smp-net         Cray Network Semaphore server 
  453/tcp     creativeserver      CreativeServer 
  454/tcp     contentserver       ContentServer 
  455/tcp     creativepartnr      CreativePartnr 
  456/tcp     macon-tcp           macon-tcp 
  457/tcp     scohelp             scohelp 
  458/tcp     appleqtc            apple quick time 
  459/tcp     ampr-rcmd           ampr-rcmd 
  460/tcp     skronk              skronk 
  461/tcp     datasurfsrv         DataRampSrv 
  462/tcp     datasurfsrvsec      DataRampSrvSec 
  463/tcp     alpes               alpes 
  464/tcp     kpasswd             kpasswd 
  465/tcp     smtps               smtp protocol over TLS/SSL (was ssmtp) 
  466/tcp     digital-vrc         digital-vrc 
  467/tcp     mylex-mapd          mylex-mapd 
  468/tcp     photuris            proturis 
  469/tcp     rcp                 Radio Control Protocol 
  470/tcp     scx-proxy           scx-proxy 
  471/tcp     mondex              Mondex 
  472/tcp     ljk-login           ljk-login 
  473/tcp     hybrid-pop          hybrid-pop 
  474/tcp     tn-tl-w1            tn-tl-w1 
  475/tcp     tcpnethaspsrv       tcpnethaspsrv 
  476/tcp     tn-tl-fd1           tn-tl-fd1 
  477/tcp     ss7ns               ss7ns 
  478/tcp     spsc                spsc 
  479/tcp     iafserver           iafserver 
  480/tcp     iafdbase            iafdbase 
  481/tcp     ph                  Ph service 
  482/tcp     bgs-nsi             bgs-nsi 
  483/tcp     ulpnet              ulpnet 
  484/tcp     integra-sme         Integra Software Management Environment 
  485/tcp     powerburst          Air Soft Power Burst 
  486/tcp     avian               avian 
  487/tcp     saft                saft Simple Asynchronous File Transfer 
  488/tcp     gss-http            gss-http 
  489/tcp     nest-protocol       nest-protocol 
  490/tcp     micom-pfs           micom-pfs 
  491/tcp     go-login            go-login 
  492/tcp     ticf-1              Transport Independent Convergence for FNA 
  493/tcp     ticf-2              Transport Independent Convergence for FNA 
  494/tcp     pov-ray             POV-Ray 
  495/tcp     intecourier         intecourier 
  496/tcp     pim-rp-disc         PIM-RP-DISC 
  497/tcp     dantz               dantz 
  498/tcp     siam                siam 
  499/tcp     iso-ill             ISO ILL Protocol 
  500/tcp     isakmp              isakmp 
  501/tcp     stmf                STMF 
  502/tcp     asa-appl-proto      asa-appl-proto 
  503/tcp     intrinsa            Intrinsa 
  504/tcp     citadel             citadel 
  505/tcp     mailbox-lm          mailbox-lm 
  506/tcp     ohimsrv             ohimsrv 
  507/tcp     crs                 crs 
  508/tcp     xvttp               xvttp 
  509/tcp     snare               snare 
  510/tcp     fcp                 FirstClass Protocol 
  511/tcp     passgo              PassGo 
  512/tcp     exec                remote process execution; 
  513/tcp     login               remote login a la telnet; 
  514/tcp     shell               cmd 
  515/tcp     printer             spooler 
  516/tcp     videotex            videotex 
  517/tcp     talk                like tenex link, but across 
  518/tcp     ntalk               
  519/tcp     utime               unixtime 
  520/tcp     efs                 extended file name server 
  521/tcp     ripng               ripng 
  522/tcp     ulp                 ULP 
  523/tcp     ibm-db2             IBM-DB2 
  524/tcp     ncp                 NCP 
  525/tcp     timed               timeserver 
  526/tcp     tempo               newdate 
  527/tcp     stx                 Stock IXChange 
  528/tcp     custix              Customer IXChange 
  529/tcp     irc-serv            IRC-SERV 
  530/tcp     courier             rpc 
  531/tcp     conference          chat 
  532/tcp     netnews             readnews 
  533/tcp     netwall             for emergency broadcasts 
  534/tcp     mm-admin            MegaMedia Admin 
  535/tcp     iiop                iiop 
  536/tcp     opalis-rdv          opalis-rdv 
  537/tcp     nmsp                Networked Media Streaming Protocol 
  538/tcp     gdomap              gdomap 
  539/tcp     apertus-ldp         Apertus Technologies Load Determination 
  540/tcp     uucp                uucpd 
  541/tcp     uucp-rlogin         uucp-rlogin 
  542/tcp     commerce            commerce 
  543/tcp     klogin              
  544/tcp     kshell              krcmd 
  545/tcp     appleqtcsrvr        appleqtcsrvr 
  546/tcp     dhcpv6-client       DHCPv6 Client 
  547/tcp     dhcpv6-server       DHCPv6 Server 
  548/tcp     afpovertcp          AFP over TCP 
  549/tcp     idfp                IDFP 
  550/tcp     new-rwho            new-who 
  551/tcp     cybercash           cybercash 
  552/tcp     deviceshare         deviceshare 
  553/tcp     pirp                pirp 
  554/tcp     rtsp                Real Time Stream Control Protocol 
  555/tcp     dsf                 
  556/tcp     remotefs            rfs server 
  557/tcp     openvms-sysipc      openvms-sysipc 
  558/tcp     sdnskmp             SDNSKMP 
  559/tcp     teedtap             TEEDTAP 
  560/tcp     rmonitor            rmonitord 
  561/tcp     monitor             
  562/tcp     chshell             chcmd 
  563/tcp     nntps               nntp protocol over TLS/SSL (was snntp) 
  564/tcp     9pfs                plan 9 file service 
  565/tcp     whoami              whoami 
  566/tcp     streettalk          streettalk 
  567/tcp     banyan-rpc          banyan-rpc 
  568/tcp     ms-shuttle          microsoft shuttle 
  569/tcp     ms-rome             microsoft rome 
  570/tcp     meter               demon 
  571/tcp     meter               udemon 
  572/tcp     sonar               sonar 
  573/tcp     banyan-vip          banyan-vip 
  574/tcp     ftp-agent           FTP Software Agent System 
  575/tcp     vemmi               VEMMI 
  576/tcp     ipcd                ipcd 
  577/tcp     vnas                vnas 
  578/tcp     ipdd                ipdd 
  579/tcp     decbsrv             decbsrv 
  581/tcp     bdp                 Bundle Discovery Protocol 
  588/tcp     cal                 CAL 
  589/tcp     eyelink             EyeLink 
  590/tcp     tns-cml             TNS CML 
  593/tcp     http-rpc-epmap      HTTP RPC Ep Map 
  594/tcp     tpip                TPIP 
  596/tcp     smsd                SMSD 
  599/tcp     acp                 Aeolon Core Protocol 
  600/tcp     ipcserver           Sun IPC server 
  606/tcp     urm                 Cray Unified Resource Manager 
  607/tcp     nqs                 nqs 
  608/tcp     sift-uft            Sender-Initiated/Unsolicited File Transfer 
  609/tcp     npmp-trap           npmp-trap 
  610/tcp     npmp-local          npmp-local 
  611/tcp     npmp-gui            npmp-gui 
  613/tcp     hmmp-op             HMMP Operation 
  620/tcp     sco-websrvrmgr      SCO WebServer Manager 
  621/tcp     escp-ip             ESCP 
  625/tcp     dec_dlm             DEC DLM 
  626/tcp     asia                ASIA 
  628/tcp     qmqp                QMQP 
  630/tcp     rda                 RDA 
  631/tcp     ipp                 IPP (Internet Printing Protocol) 
  632/tcp     bmpp                bmpp 
  634/tcp     ginad               ginad 
  635/tcp     rlzdbase            RLZ DBase 
  636/tcp     ldaps               ldap protocol over TLS/SSL (was sldap) 
  637/tcp     lanserver           lanserver 
  639/tcp     msdp                MSDP 
  666/tcp     doom                doom Id Software 
  667/tcp     disclose            campaign contribution disclosures - SDR Technologies 
  668/tcp     mecomm              MeComm 
  669/tcp     meregister          MeRegister 
  670/tcp     vacdsm-sws          VACDSM-SWS 
  671/tcp     vacdsm-app          VACDSM-APP 
  672/tcp     vpps-qua            VPPS-QUA 
  673/tcp     cimplex             CIMPLEX 
  674/tcp     acap                ACAP 
  675/tcp     dctp                DCTP 
  704/tcp     elcsd               errlog copy/server daemon 
  705/tcp     agentx              AgentX 
  709/tcp     entrust-kmsh        Entrust Key Management Service Handler 
  710/tcp     entrust-ash         Entrust Administration Service Handler 
  729/tcp     netviewdm1          IBM NetView DM/6000 Server/Client 
  730/tcp     netviewdm2          IBM NetView DM/6000 send/tcp 
  731/tcp     netviewdm3          IBM NetView DM/6000 receive/tcp 
  741/tcp     netgw               netGW 
  742/tcp     netrcs              Network based Rev. Cont. Sys. 
  744/tcp     flexlm              Flexible License Manager 
  747/tcp     fujitsu-dev         Fujitsu Device Control 
  748/tcp     ris-cm              Russell Info Sci Calendar Manager 
  749/tcp     kerberos-adm        kerberos administration 
  750/tcp     rfile               
  751/tcp     pump                
  752/tcp     qrh                 
  753/tcp     rrh                 
  754/tcp     tell                send 
  758/tcp     nlogin              
  759/tcp     con                 
  760/tcp     ns                  
  761/tcp     rxe                 
  762/tcp     quotad              
  763/tcp     cycleserv           
  764/tcp     omserv              
  765/tcp     webster             
  769/tcp     vid                 
  770/tcp     cadlock             
  771/tcp     rtip                
  772/tcp     cycleserv2          
  773/tcp     submit              
  774/tcp     rpasswd             
  776/tcp     wpages              
  780/tcp     wpgs                
  786/tcp     concert             Concert 
  787/tcp     qsc                 QSC 
  801/tcp     device              
  873/tcp     rsync               rsync 
  886/tcp     iclcnet-locate      ICL coNETion locate server 
  887/tcp     iclcnet_svinfo      ICL coNETion server info 
  888/tcp     accessbuilder       AccessBuilder 
  900/tcp     omginitialrefs      OMG Initial Refs 
  911/tcp     xact-backup         xact-backup 
  990/tcp     ftps                ftp protocol, control, over TLS/SSL 
  991/tcp     nas                 Netnews Administration System 
  992/tcp     telnets             telnet protocol over TLS/SSL 
  993/tcp     imaps               imap4 protocol over TLS/SSL 
  994/tcp     ircs                irc protocol over TLS/SSL 
  995/tcp     pop3s               pop3 protocol over TLS/SSL (was spop3) 
  996/tcp     vsinet              vsinet 
  997/tcp     maitrd              
  998/tcp     busboy              
  999/tcp     garcon              
 1000/tcp     cadlock             
 1010/tcp     surf                surf 
 1023/tcp     Reserved            Reserved 
 1030/tcp     iad1                BBN IAD 
 1031/tcp     iad2                BBN IAD 
 1032/tcp     iad3                BBN IAD 
 1047/tcp     neod1               Sun's NEO Object Request Broker 
 1048/tcp     neod2               Sun's NEO Object Request Broker 
 1058/tcp     nim                 nim 
 1059/tcp     nimreg              nimreg 
 1067/tcp     instl_boots         Installation Bootstrap Proto. Serv. 
 1068/tcp     instl_bootc         Installation Bootstrap Proto. Cli. 
 1080/tcp     socks               Socks 
 1083/tcp     ansoft-lm-1         Anasoft License Manager 
 1084/tcp     ansoft-lm-2         Anasoft License Manager 
 1123/tcp     murray              Murray 
 1155/tcp     nfa                 Network File Access 
 1212/tcp     lupa                lupa 
 1222/tcp     nerv                SNI R&D network 
 1239/tcp     nmsd                NMSD 
 1248/tcp     hermes              
 1313/tcp     bmc_patroldb        BMC_PATROLDB 
 1314/tcp     pdps                Photoscript Distributed Printing System 
 1321/tcp     pip                 PIP 
 1345/tcp     vpjp                VPJP 
 1346/tcp     alta-ana-lm         Alta Analytics License Manager 
 1347/tcp     bbn-mmc             multi media conferencing 
 1348/tcp     bbn-mmx             multi media conferencing 
 1349/tcp     sbook               Registration Network Protocol 
 1350/tcp     editbench           Registration Network Protocol 
 1352/tcp     lotusnote           Lotus Note 
 1353/tcp     relief              Relief Consulting 
 1354/tcp     rightbrain          RightBrain Software 
 1355/tcp     intuitive-edge      Intuitive Edge 
 1356/tcp     cuillamartin        CuillaMartin Company 
 1357/tcp     pegboard            Electronic PegBoard 
 1358/tcp     connlcli            CONNLCLI 
 1359/tcp     ftsrv               FTSRV 
 1360/tcp     mimer               MIMER 
 1361/tcp     linx                LinX 
 1362/tcp     timeflies           TimeFlies 
 1363/tcp     ndm-requester       Network DataMover Requester 
 1364/tcp     ndm-server          Network DataMover Server 
 1365/tcp     adapt-sna           Network Software Associates 
 1366/tcp     netware-csp         Novell NetWare Comm Service Platform 
 1367/tcp     dcs                 DCS 
 1368/tcp     screencast          ScreenCast 
 1369/tcp     gv-us               GlobalView to Unix Shell 
 1370/tcp     us-gv               Unix Shell to GlobalView 
 1371/tcp     fc-cli              Fujitsu Config Protocol 
 1372/tcp     fc-ser              Fujitsu Config Protocol 
 1373/tcp     chromagrafx         Chromagrafx 
 1374/tcp     molly               EPI Software Systems 
 1375/tcp     bytex               Bytex 
 1376/tcp     ibm-pps             IBM Person to Person Software 
 1377/tcp     cichlid             Cichlid License Manager 
 1378/tcp     elan                Elan License Manager 
 1379/tcp     dbreporter          Integrity Solutions 
 1380/tcp     telesis-licman      Telesis Network License Manager 
 1381/tcp     apple-licman        Apple Network License Manager 
 1382/tcp     udt_os              
 1383/tcp     gwha                GW Hannaway Network License Manager 
 1384/tcp     os-licman           Objective Solutions License Manager 
 1385/tcp     atex_elmd           Atex Publishing License Manager 
 1386/tcp     checksum            CheckSum License Manager 
 1387/tcp     cadsi-lm            Computer Aided Design Software Inc LM 
 1388/tcp     objective-dbc       Objective Solutions DataBase Cache 
 1389/tcp     iclpv-dm            Document Manager 
 1390/tcp     iclpv-sc            Storage Controller 
 1391/tcp     iclpv-sas           Storage Access Server 
 1392/tcp     iclpv-pm            Print Manager 
 1393/tcp     iclpv-nls           Network Log Server 
 1394/tcp     iclpv-nlc           Network Log Client 
 1395/tcp     iclpv-wsm           PC Workstation Manager software 
 1396/tcp     dvl-activemail      DVL Active Mail 
 1399/tcp     cadkey-licman       Cadkey License Manager 
 1400/tcp     cadkey-tablet       Cadkey Tablet Daemon 
 1402/tcp     prm-sm-np           Prospero Resource Manager 
 1403/tcp     prm-nm-np           Prospero Resource Manager 
 1404/tcp     igi-lm              Infinite Graphics License Manager 
 1405/tcp     ibm-res             IBM Remote Execution Starter 
 1406/tcp     netlabs-lm          NetLabs License Manager 
 1407/tcp     dbsa-lm             DBSA License Manager 
 1408/tcp     sophia-lm           Sophia License Manager 
 1409/tcp     here-lm             Here License Manager 
 1410/tcp     hiq                 HiQ License Manager 
 1411/tcp     af                  AudioFile 
 1412/tcp     innosys             InnoSys 
 1413/tcp     innosys-acl         Innosys-ACL 
 1414/tcp     ibm-mqseries        IBM MQSeries 
 1415/tcp     dbstar              DBStar 
 1416/tcp     novell-lu6.2        Novell LU6.2 
 1417/tcp     timbuktu-srv1       Timbuktu Service 1 Port 
